Compressed File Sizes (KB): 	Original	LZW default	Do Nothing Mode	Reset Mode	Monitor Mode	gzip
all.tar				2960		1804		1751		1151		1778		950
assig2.doc			85		73		40		40		40		23
bmps.tar			1080		904		80		80		80		64
code.txt			71		31		24		24		24		15
code2.txt			57		24		21		21		21		14
edit.exe			231		245		153		149		153		124
frosty.jpg			124		174		160		168		160		124
gone_fishin.bmp			17		10		9		9		9		9
large.txt			1193		591		491		516		491		482
Lego-big.gif			92		126		120		120		120		91
medium.txt			25		13		13		13		13		11
texts.tar			1350		989		584		577		584		521
wacky.bmp			901		5		4		4		4		3
winnt256.bmp			154		156		62		62		62		49
						
Compression ratios:		Original	LZW default	Do Nothing Mode	Reset Mode	Monitor Mode	gzip
all.tar				1		1.640798226	1.690462593	2.571676803	1.664791901	3.115789474
assig2.doc			1		1.164383562	2.125		2.125		2.125		3.695652174
bmps.tar			1		1.194690265	13.5		13.5		13.5		16.875
code.txt			1		2.290322581	2.958333333	2.958333333	2.958333333	4.733333333
code2.txt			1		2.375		2.714285714	2.714285714	2.714285714	4.071428571
edit.exe			1		0.942857143	1.509803922	1.55033557	1.509803922	1.862903226
frosty.jpg			1		0.712643678	0.775		0.738095238	0.775		1
gone_fishin.bmp			1		1.7		1.888888889	1.888888889	1.888888889	1.888888889
large.txt			1		2.018612521	2.429735234	2.312015504	2.429735234	2.475103734
Lego-big.gif			1		0.73015873	0.766666667	0.766666667	0.766666667	1.010989011
medium.txt			1		1.923076923	1.923076923	1.923076923	1.923076923	2.272727273
texts.tar			1		1.365015167	2.311643836	2.339688042	2.311643836	2.591170825
wacky.bmp			1		180.2		225.25		225.25		225.25		300.3333333
winnt256.bmp			1		0.987179487	2.483870968	2.483870968	2.483870968	3.142857143
